# file...... EOL_1_1_V.csv
# date...... Tue Jan 24 15:06:23 2017
# user...... D3P313
# host...... (null)
# target.... node 18470
# trigger... (none)
# interval.. 60
# limit..... 10000
# timestamp,voltage_A.real,voltage_A.imag,voltage_B.real,voltage_B.imag,voltage_C.real,voltage_C.imag
2000-09-01 00:00:00 PDT,+6003.56,-3996.01,-6501.02,-3138.21,+444.861,+7328.53
2000-09-01 00:01:00 PDT,+5967.54,-3967.76,-6460.46,-3112.89,+440.18,+7286.92
2000-09-01 00:02:00 PDT,+5929.27,-3940.23,-6421.8,-3094.93,+432.175,+7244.78
2000-09-01 00:03:00 PDT,+5904.33,-3913.8,-6395.32,-3094.47,+409.623,+7215.93
2000-09-01 00:04:00 PDT,+5896.09,-3894.27,-6364.4,-3110.65,+399.971,+7174.49
2000-09-01 00:05:00 PDT,+5865.82,-3868.86,-6336.22,-3104.17,+377.375,+7148.96
2000-09-01 00:06:00 PDT,+5854.53,-3841.5,-6297.2,-3093.3,+370.643,+7113.24
2000-09-01 00:07:00 PDT,+5820.77,-3819.97,-6268.76,-3088.57,+353.453,+7079.2
2000-09-01 00:08:00 PDT,+5785.2,-3803.5,-6242.99,-3088.9,+341.488,+7034.34
2000-09-01 00:09:00 PDT,+5767.37,-3779.41,-6203.8,-3076.32,+338.777,+6997.47
2000-09-01 00:10:00 PDT,+5736.59,-3749.88,-6172.17,-3050.39,+327.64,+6968.79
2000-09-01 00:11:00 PDT,+5738.13,-3749.21,-6140.84,-3037.3,+319.948,+6932.38
2000-09-01 00:12:00 PDT,+5751.86,-3746.52,-6135.55,-3035.26,+326.123,+6894.86
2000-09-01 00:13:00 PDT,+5757.96,-3745.78,-6132.75,-3034.04,+331.658,+6852.71
2000-09-01 00:14:00 PDT,+5760.18,-3742.93,-6131.15,-3024.64,+335.731,+6855.84
2000-09-01 00:15:00 PDT,+5764.28,-3740.85,-6132.61,-3028.19,+331.769,+6859.2
2000-09-01 00:16:00 PDT,+5763.53,-3736.18,-6131.84,-3016.34,+331.958,+6865.52
2000-09-01 00:17:00 PDT,+5765.52,-3729.58,-6133.63,-3010.65,+324.376,+6876.99
2000-09-01 00:18:00 PDT,+5766.7,-3732.59,-6132.22,-3015.06,+326.012,+6833.77
2000-09-01 00:19:00 PDT,+5764.61,-3731.64,-6134.81,-3021.77,+323.359,+6834.89
2000-09-01 00:20:00 PDT,+5766.47,-3734.3,-6130.92,-3022.44,+332.221,+6830.32
2000-09-01 00:21:00 PDT,+5759.31,-3734.14,-6133.54,-3020.1,+326.08,+6834.65
2000-09-01 00:22:00 PDT,+5759.13,-3738.4,-6137.12,-3034.29,+325.676,+6828.18
2000-09-01 00:23:00 PDT,+5764.44,-3735.1,-6135.84,-3028.03,+328.459,+6830.87
2000-09-01 00:24:00 PDT,+5766.09,-3734.81,-6136.48,-3031.43,+328.468,+6832.1
2000-09-01 00:25:00 PDT,+5771.31,-3733.19,-6138.06,-3035.55,+326.387,+6833.26
2000-09-01 00:26:00 PDT,+5788.78,-3732,-6128.87,-3033.66,+340.578,+6826.72
2000-09-01 00:27:00 PDT,+5758.69,-3709.95,-6126.41,-3034.08,+341.479,+6824.19
2000-09-01 00:28:00 PDT,+5758.07,-3710.14,-6127.96,-3034.38,+340.146,+6826.41
2000-09-01 00:29:00 PDT,+5751.03,-3708.81,-6128.53,-3026.15,+337.561,+6831.38
2000-09-01 00:30:00 PDT,+5749.16,-3712.71,-6128.64,-3027.8,+342.706,+6827.22
2000-09-01 00:31:00 PDT,+5749.88,-3713.4,-6130.96,-3036.66,+335.806,+6830.34
2000-09-01 00:32:00 PDT,+5748.06,-3717.71,-6132.65,-3042.06,+337.789,+6826.72
2000-09-01 00:33:00 PDT,+5742.9,-3716.5,-6135.06,-3034.85,+331.094,+6834.04
2000-09-01 00:34:00 PDT,+5752.92,-3712.54,-6134.21,-3036.14,+335.808,+6834.39
2000-09-01 00:35:00 PDT,+5749.3,-3712.77,-6137.63,-3037.18,+328.878,+6838.1
2000-09-01 00:36:00 PDT,+5744.92,-3715.58,-6139.08,-3039.14,+326.967,+6836.9
2000-09-01 00:37:00 PDT,+5748.45,-3709.47,-6138,-3031.32,+325.816,+6843.61
2000-09-01 00:38:00 PDT,+5740.84,-3710.46,-6142.25,-3028.4,+319.202,+6845.83
2000-09-01 00:39:00 PDT,+5740.66,-3709.07,-6143.66,-3025.94,+316.106,+6848.39
2000-09-01 00:40:00 PDT,+5739.81,-3710.58,-6142.85,-3026.01,+320.632,+6845.85
2000-09-01 00:41:00 PDT,+5738.93,-3716.11,-6144.54,-3036.55,+317.505,+6840.97
2000-09-01 00:42:00 PDT,+5749.38,-3713.65,-6138.64,-3037.56,+328.383,+6838.04
2000-09-01 00:43:00 PDT,+5752.47,-3710.87,-6138.9,-3037.86,+327.155,+6839.02
2000-09-01 00:44:00 PDT,+5749.66,-3714.27,-6139.57,-3042.43,+327.948,+6835.85
2000-09-01 00:45:00 PDT,+5745.25,-3717.26,-6142,-3043.01,+326.797,+6834.65
2000-09-01 00:46:00 PDT,+5748.39,-3716.29,-6139.78,-3041.52,+331.309,+6833.78
2000-09-01 00:47:00 PDT,+5749.5,-3713.15,-6141.37,-3043.52,+324.876,+6839.48
2000-09-01 00:48:00 PDT,+5747.79,-3713.79,-6142.7,-3040.52,+323.743,+6840.84
2000-09-01 00:49:00 PDT,+5740.51,-3717.17,-6145.74,-3039.4,+319.293,+6841.62
2000-09-01 00:50:00 PDT,+5744.29,-3713.95,-6144.66,-3035.93,+319.859,+6843.51
2000-09-01 00:51:00 PDT,+5742.69,-3715.57,-6145.91,-3041.53,+317.863,+6842.94
2000-09-01 00:52:00 PDT,+5747.31,-3712.35,-6144.44,-3039.01,+319.327,+6844.05
2000-09-01 00:53:00 PDT,+5748.69,-3710.76,-6144.28,-3035.3,+322.124,+6844.53
2000-09-01 00:54:00 PDT,+5742.42,-3712.8,-6148.17,-3040.06,+313.944,+6846.06
2000-09-01 00:55:00 PDT,+5745.7,-3708.64,-6146.4,-3030,+317.987,+6849.22
2000-09-01 00:56:00 PDT,+5746.46,-3710.63,-6144.9,-3029.97,+321.892,+6848.15
2000-09-01 00:57:00 PDT,+5753.42,-3705.42,-6142.59,-3028.27,+323.092,+6850.42
2000-09-01 00:58:00 PDT,+5761,-3698.33,-6140.92,-3022.65,+323.324,+6854.9
2000-09-01 00:59:00 PDT,+5757.21,-3701.31,-6142.49,-3026.08,+320.162,+6854.11
2000-09-01 01:00:00 PDT,+5761.97,-3699.02,-6141.23,-3025.86,+320.001,+6855.76
2000-09-01 01:01:00 PDT,+5761.3,-3701.43,-6140.83,-3026.8,+322.832,+6854.09
2000-09-01 01:02:00 PDT,+5756.33,-3702.11,-6143.94,-3024.84,+317.918,+6856.02
2000-09-01 01:03:00 PDT,+5759.75,-3702.55,-6142.21,-3028.71,+321.983,+6853.47
2000-09-01 01:04:00 PDT,+5754.5,-3705.79,-6144.72,-3028.03,+320.987,+6853.08
