# file...... EOL_2_2_V.csv
# date...... Tue Jan 24 15:06:23 2017
# user...... D3P313
# host...... (null)
# target.... node 18634
# trigger... (none)
# interval.. 60
# limit..... 10000
# timestamp,voltage_A.real,voltage_A.imag,voltage_B.real,voltage_B.imag,voltage_C.real,voltage_C.imag
2000-09-01 00:00:00 PDT,+5583.06,-3858.2,-6255.1,-2809.05,+480.107,+7079.37
2000-09-01 00:01:00 PDT,+5550.15,-3829.47,-6215.2,-2781.89,+475.76,+7040.85
2000-09-01 00:02:00 PDT,+5510.35,-3801.14,-6140.31,-2743.96,+460.384,+6916.35
2000-09-01 00:03:00 PDT,+5494.82,-3776.07,-6122.48,-2751,+433.893,+6896.44
2000-09-01 00:04:00 PDT,+5535.71,-3792,-6105.91,-2789.24,+418.773,+6768.3
2000-09-01 00:05:00 PDT,+5510.46,-3768.97,-6081.49,-2785.83,+394.152,+6750.06
2000-09-01 00:06:00 PDT,+5548.67,-3768.5,-6078.63,-2795.48,+388.684,+6676.41
2000-09-01 00:07:00 PDT,+5514.98,-3750.2,-6058,-2797.56,+368.076,+6645.48
2000-09-01 00:08:00 PDT,+5554.99,-3785.63,-6076.83,-2823.81,+358.928,+6639.91
2000-09-01 00:09:00 PDT,+5544.66,-3763.28,-6038.71,-2813.66,+356.447,+6608.44
2000-09-01 00:10:00 PDT,+5586.61,-3780.11,-6085.4,-2824.44,+345.571,+6625.65
2000-09-01 00:11:00 PDT,+5592.55,-3780.86,-6056.02,-2814.63,+337.84,+6591.91
2000-09-01 00:12:00 PDT,+5657.94,-3798.21,-6118.55,-2843.56,+355.204,+6640.49
2000-09-01 00:13:00 PDT,+5668.32,-3797.33,-6112.72,-2841.58,+365.057,+6597.52
2000-09-01 00:14:00 PDT,+5673.9,-3793.91,-6147.18,-2848.92,+375.289,+6683.31
2000-09-01 00:15:00 PDT,+5680.46,-3792.46,-6150.92,-2855.97,+370.196,+6687.46
2000-09-01 00:16:00 PDT,+5676.77,-3788.16,-6191.45,-2864.27,+371.952,+6778.72
2000-09-01 00:17:00 PDT,+5679.97,-3779.41,-6195.21,-2857.29,+361.451,+6795.36
2000-09-01 00:18:00 PDT,+5681.8,-3783.7,-6191.27,-2864.02,+364.584,+6751.04
